time	V(n004)
1.333714947611181e-003	1.728817e-005
1.333809965074121e-003	1.903694e-005
1.333904982537060e-003	1.812752e-005
1.334000000000000e-003	1.455988e-005
1.335000000000000e-003	1.450348e-005
1.337000000000000e-003	1.448135e-005
1.338000000000000e-003	1.447023e-005
1.339000000000000e-003	1.445902e-005
1.340000000000000e-003	1.444774e-005
1.340151718800960e-003	1.444602e-005
1.340303437601921e-003	1.444429e-005
1.340455156402881e-003	1.444257e-005
1.340606875203841e-003	1.444084e-005
1.340758594004802e-003	1.443911e-005
1.340910312805762e-003	1.443739e-005
1.341062031606722e-003	1.443566e-005
1.341210205744441e-003	1.443396e-005
1.341358379882160e-003	1.443225e-005
1.341506554019879e-003	1.443055e-005
1.341654728157598e-003	1.442886e-005
1.341802902295317e-003	1.442716e-005
1.341951076433036e-003	1.442546e-005
1.342099250570755e-003	1.442377e-005
1.343000000000000e-003	1.441336e-005
1.345000000000000e-003	1.439000e-005
1.347060408986555e-003	1.436559e-005
1.347480350559905e-003	1.436057e-005
1.347900292133254e-003	1.435553e-005
1.348320233706603e-003	1.435048e-005
1.348740175279952e-003	1.434541e-005
1.349160116853302e-003	1.434033e-005
1.349580058426651e-003	1.433523e-005
1.350000000000000e-003	1.433012e-005
1.350437620487641e-003	1.432478e-005
1.350875240975282e-003	1.431941e-005
1.351312861462923e-003	1.431404e-005
1.351750481950564e-003	1.430864e-005
1.352188102438204e-003	1.430323e-005
1.352625722925845e-003	1.429780e-005
1.353063343413486e-003	1.429236e-005
1.353491980991712e-003	1.428701e-005
1.353920618569938e-003	1.428164e-005
1.354349256148163e-003	1.427626e-005
1.354777893726389e-003	1.427086e-005
1.355206531304615e-003	1.426545e-005
1.355635168882840e-003	1.426002e-005
1.356063806461066e-003	1.425457e-005
1.358068644934420e-003	1.422888e-005
1.360000000000000e-003	1.420378e-005
1.360000001000000e-003	1.420378e-005
1.360000003000000e-003	1.420378e-005
1.360000007000000e-003	1.420378e-005
1.360000010000000e-003	1.420378e-005
1.360000010168673e-003	1.420378e-005
1.360000010506018e-003	1.420378e-005
1.360000011180709e-003	1.420378e-005
1.360000012530090e-003	1.420378e-005
1.360000015228853e-003	1.420378e-005
1.360000020626379e-003	1.420378e-005
1.360000031421430e-003	1.420379e-005
1.360000045847088e-003	1.420382e-005
1.360000060282718e-003	1.420392e-005
1.360000076808695e-003	1.420427e-005
1.360000098344582e-003	1.420527e-005
1.360000112995951e-003	1.420649e-005
1.360000123391570e-003	1.420787e-005
1.360000134242703e-003	1.420986e-005
1.360000142298620e-003	1.421177e-005
1.360000150460846e-003	1.421420e-005
1.360000158796050e-003	1.421740e-005
1.360000175078137e-003	1.422615e-005
1.360000200272641e-003	1.424775e-005
1.360000239924364e-003	1.429791e-005
1.360000254271914e-003	1.432320e-005
1.360000269280899e-003	1.435742e-005
1.360000283410675e-003	1.439588e-005
1.360000297928675e-003	1.444365e-005
1.360000320581287e-003	1.453409e-005
1.360000343865441e-003	1.465097e-005
1.360000386271487e-003	1.491900e-005
