time	V(vin)	V(vout)	V(n004)
4.000136110330482e-005	4.648859e+000	-1.446258e+000	-2.863890e-005
4.000160956756744e-005	4.648855e+000	-1.446259e+000	-8.604631e-005
4.000193407986165e-005	4.648849e+000	-1.446260e+000	-1.977596e-004
4.000228095799897e-005	4.648843e+000	-1.446261e+000	-3.624182e-004
4.000262792397532e-005	4.648837e+000	-1.446262e+000	-5.763005e-004
4.000300343091250e-005	4.648830e+000	-1.446264e+000	-8.638147e-004
4.000345650052428e-005	4.648822e+000	-1.446265e+000	-1.284676e-003
4.000404731033811e-005	4.648812e+000	-1.446268e+000	-1.941454e-003
4.000476160070628e-005	4.648800e+000	-1.446270e+000	-2.888120e-003
4.000576955580848e-005	4.648782e+000	-1.446274e+000	-4.468972e-003
4.000702147049064e-005	4.648761e+000	-1.446278e+000	-6.786949e-003
4.000899562894194e-005	4.648726e+000	-1.446285e+000	-1.104507e-002
4.001119373309636e-005	4.648688e+000	-1.446293e+000	-1.644848e-002
4.001374250823739e-005	4.648644e+000	-1.446302e+000	-2.343448e-002
4.001667881891767e-005	4.648593e+000	-1.446313e+000	-3.217933e-002
4.002062012971232e-005	4.648525e+000	-1.446327e+000	-4.458741e-002
4.002590653459561e-005	4.648433e+000	-1.446346e+000	-6.130994e-002
4.003437580282852e-005	4.648286e+000	-1.446376e+000	-8.582164e-002
4.004395086813078e-005	4.648119e+000	-1.446410e+000	-1.077913e-001
4.005151194340102e-005	4.647988e+000	-1.446437e+000	-1.185011e-001
4.005806464547554e-005	4.647874e+000	-1.446460e+000	-1.211932e-001
4.006470619691543e-005	4.647759e+000	-1.446484e+000	-1.172452e-001
4.007191761291017e-005	4.647634e+000	-1.446510e+000	-1.050989e-001
4.008264685401424e-005	4.647447e+000	-1.446548e+000	-7.449493e-002
4.009568635947834e-005	4.647221e+000	-1.446595e+000	-2.336233e-002
4.010715732331123e-005	4.647021e+000	-1.446636e+000	3.110767e-002
4.011874201524830e-005	4.646820e+000	-1.446677e+000	9.112410e-002
4.013219233107166e-005	4.646585e+000	-1.446725e+000	1.601027e-001
4.014947528534641e-005	4.646285e+000	-1.446786e+000	2.410994e-001
4.016270623773740e-005	4.646054e+000	-1.446833e+000	2.937512e-001
4.017312062503265e-005	4.645873e+000	-1.446870e+000	3.263747e-001
4.018522669182881e-005	4.645662e+000	-1.446913e+000	3.546162e-001
