time	V(sin32)	V(vout)
3.846209669305413e-005	9.989244e-001	7.739280e-001
3.846218243640080e-005	9.989197e-001	7.739263e-001
3.846226228053492e-005	9.989154e-001	7.739248e-001
3.846234767681568e-005	9.989107e-001	7.739231e-001
3.846242906084107e-005	9.989062e-001	7.739215e-001
3.846252597454599e-005	9.989009e-001	7.739197e-001
3.846263536187332e-005	9.988949e-001	7.739176e-001
3.846274969203215e-005	9.988887e-001	7.739154e-001
3.846287097937083e-005	9.988820e-001	7.739130e-001
3.846299933818985e-005	9.988750e-001	7.739105e-001
3.846312619366324e-005	9.988680e-001	7.739081e-001
3.846331081773491e-005	9.988579e-001	7.739045e-001
3.846358608895436e-005	9.988429e-001	7.738991e-001
3.846386309134002e-005	9.988277e-001	7.738938e-001
3.846423812210406e-005	9.988072e-001	7.738866e-001
3.846468175367672e-005	9.987829e-001	7.738780e-001
3.846531202474470e-005	9.987484e-001	7.738658e-001
3.846594407887617e-005	9.987138e-001	7.738535e-001
3.846693927414351e-005	9.986593e-001	7.738343e-001
3.846822109112398e-005	9.985891e-001	7.738095e-001
3.846973933475527e-005	9.985060e-001	7.737801e-001
3.847142156568188e-005	9.984139e-001	7.737476e-001
3.847343951683398e-005	9.983034e-001	7.737085e-001
3.847598895971257e-005	9.981639e-001	7.736592e-001
3.847936885831445e-005	9.979788e-001	7.735938e-001
3.848350040668242e-005	9.977526e-001	7.735139e-001
3.848975533276688e-005	9.974102e-001	7.733929e-001
3.849871451199610e-005	9.969197e-001	7.732195e-001
3.851363254678969e-005	9.961030e-001	7.729310e-001
3.852868684202566e-005	9.952788e-001	7.726399e-001
3.854378556228562e-005	9.944522e-001	7.723479e-001
3.856006034165700e-005	9.935612e-001	7.720333e-001
3.857522769120042e-005	9.927309e-001	7.717401e-001
3.859097091523734e-005	9.918690e-001	7.714359e-001
3.860717072187410e-005	9.909821e-001	7.711229e-001
